boundary_scope,primary_biome,metric,measure_type,t0,t1,diagnostic_interval,cells,supported_cells,undefined_cells,nonzero_cells,value_sum,value_mean,value_median,value_q90,contribution_to_combined_domain_sum
primary_assignment,Cerrado,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,2000,2005,0,10676,5973,4703,4196,1149.8875389720081,0.19251423722953426,0.047471898874097015,0.67278459679826208,
primary_assignment,Cerrado,net_cr_balance_ha,signed_area,2000,2005,0,10676,10676,0,10306,-3502074.2295241975,-328.03243064108256,-242.3802219347042,590.14009649643992,0.26092965270111396
primary_assignment,Cerrado,cr_balance_index,bounded_index,2000,2005,0,10676,10306,370,10306,-5518.549216749263,-0.53546955334264146,-0.97017620022261175,0.74566167572900044,
primary_assignment,Cerrado,consolidation_ha,absolute_area,2005,2010,0,10676,10676,0,7458,2028081.1527854539,189.9663874845873,17.775407514662717,592.40283346573506,0.71767823096212302
primary_assignment,Cerrado,consolidation_rate_initial_pasture,relative_intensity,2005,2010,0,10676,10319,357,7458,584.93928334142618,0.05668565591059465,0.0050498178735613741,0.16532326529208619,
primary_assignment,Cerrado,replenishment_ha,absolute_area,2005,2010,0,10676,10676,0,10301,4179159.6272063665,391.45369306916132,241.9427708623748,970.31478813001331,0.41550385639222698
primary_assignment,Cerrado,replenishment_rate_initial_native,relative_intensity,2005,2010,0,10676,10672,4,10301,424.6006279323579,0.039786415660828141,0.027679411624423021,0.094859123253939567,
primary_assignment,Cerrado,nat_tmp_endpoint_ha,absolute_area,2005,2010,0,10676,10676,0,6496,791362.02620996127,74.125330293177342,1.3742988966405392,92.428417096798313,0.83722069069368776
primary_assignment,Cerrado,nat_tmp_intensity_initial_native,relative_intensity,2005,2010,0,10676,10672,4,6496,70.842691349396745,0.0066381832223947473,0.00014595365586746715,0.012024560258539608,
primary_assignment,Cerrado,nat_tmp_pas_any_ha,trajectory_area,2005,2010,0,10676,10676,0,4803,59744.868125045061,5.5961847250885217,0,9.6053416579961777,0.74335682386148672
primary_assignment,Cerrado,nat_tmp_pas_any_share_endpoint,trajectory_share,2005,2010,0,10676,6496,4180,4803,1514.362362562134,0.23312228487717579,0.070640550032972704,0.8333342449020984,
primary_assignment,Cerrado,nat_tmp_pas_consecutive2_ha,trajectory_area,2005,2010,0,10676,10676,0,4513,56889.066529347328,5.3286873856638559,0,8.8119045650111687,0.74288883215848456
