boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,stage,cells,biome_cells,cell_fraction
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2010,2015,0,positive_high,182,14213,0.012805178357841413
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2010,2015,0,positive_low,1815,14213,0.12769999296418771
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2010,2015,0,positive_moderate,1067,14213,0.07507211707591642
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2010,2015,0,undefined,1,14213,7.0358122845282483e-05
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2010,2015,0,zero,11148,14213,0.78435235347920917
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2015,2020,0,positive_high,185,14213,0.013016252726377259
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2015,2020,0,positive_low,2068,14213,0.14550059804404419
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2015,2020,0,positive_moderate,1114,14213,0.078378948849644692
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2015,2020,0,undefined,1,14213,7.0358122845282483e-05
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2015,2020,0,zero,10845,14213,0.76303384225708859
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2020,2025,1,positive_high,125,14213,0.0087947653556603115
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2020,2025,1,positive_low,2082,14213,0.14648561176387814
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2020,2025,1,positive_moderate,1205,14213,0.084781538028565404
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2020,2025,1,undefined,1,14213,7.0358122845282483e-05
primary_assignment,Amazon,nat_tmp_intensity_initial_native,2020,2025,1,zero,10800,14213,0.7598677267290509
primary_assignment,Amazon,nat_tmp_pas_any_ha,1985,1990,0,positive_high,16,14213,0.0011257299655245197
primary_assignment,Amazon,nat_tmp_pas_any_ha,1985,1990,0,positive_low,253,14213,0.017800605079856469
primary_assignment,Amazon,nat_tmp_pas_any_ha,1985,1990,0,positive_moderate,154,14213,0.010835150918173502
primary_assignment,Amazon,nat_tmp_pas_any_ha,1985,1990,0,zero,13790,14213,0.97023851403644545
primary_assignment,Amazon,nat_tmp_pas_any_ha,1990,1995,0,positive_high,41,14213,0.0028846830366565821
primary_assignment,Amazon,nat_tmp_pas_any_ha,1990,1995,0,positive_low,328,14213,0.023077464293252657
primary_assignment,Amazon,nat_tmp_pas_any_ha,1990,1995,0,positive_moderate,245,14213,0.017237740097094209
primary_assignment,Amazon,nat_tmp_pas_any_ha,1990,1995,0,zero,13599,14213,0.95680011257299658
primary_assignment,Amazon,nat_tmp_pas_any_ha,1995,2000,0,positive_high,98,14213,0.0068950960388376838
primary_assignment,Amazon,nat_tmp_pas_any_ha,1995,2000,0,positive_low,448,14213,0.031520439034686557
primary_assignment,Amazon,nat_tmp_pas_any_ha,1995,2000,0,positive_moderate,414,14213,0.029128262857946952
primary_assignment,Amazon,nat_tmp_pas_any_ha,1995,2000,0,zero,13253,14213,0.93245620206852886
primary_assignment,Amazon,nat_tmp_pas_any_ha,2000,2005,0,positive_high,261,14213,0.018363470062618729
primary_assignment,Amazon,nat_tmp_pas_any_ha,2000,2005,0,positive_low,593,14213,0.041722366847252515
primary_assignment,Amazon,nat_tmp_pas_any_ha,2000,2005,0,positive_moderate,667,14213,0.046928867937803417
primary_assignment,Amazon,nat_tmp_pas_any_ha,2000,2005,0,zero,12692,14213,0.89298529515232539
primary_assignment,Amazon,nat_tmp_pas_any_ha,2005,2010,0,positive_high,110,14213,0.0077393935129810741
primary_assignment,Amazon,nat_tmp_pas_any_ha,2005,2010,0,positive_low,775,14213,0.054527545205093925
primary_assignment,Amazon,nat_tmp_pas_any_ha,2005,2010,0,positive_moderate,550,14213,0.038696967564905371
primary_assignment,Amazon,nat_tmp_pas_any_ha,2005,2010,0,zero,12778,14213,0.89903609371701965
primary_assignment,Amazon,nat_tmp_pas_any_ha,2010,2015,0,positive_high,124,14213,0.0087244072328150277
primary_assignment,Amazon,nat_tmp_pas_any_ha,2010,2015,0,positive_low,1158,14213,0.081474706254837118
primary_assignment,Amazon,nat_tmp_pas_any_ha,2010,2015,0,positive_moderate,701,14213,0.049321044114543022
primary_assignment,Amazon,nat_tmp_pas_any_ha,2010,2015,0,zero,12230,14213,0.86047984239780484
primary_assignment,Amazon,nat_tmp_pas_any_ha,2015,2020,0,positive_high,83,14213,0.0058397241961584464
primary_assignment,Amazon,nat_tmp_pas_any_ha,2015,2020,0,positive_low,1355,14213,0.095335256455357772
primary_assignment,Amazon,nat_tmp_pas_any_ha,2015,2020,0,positive_moderate,687,14213,0.048336030394709066
primary_assignment,Amazon,nat_tmp_pas_any_ha,2015,2020,0,zero,12088,14213,0.85048898895377467
primary_assignment,Amazon,nat_tmp_pas_any_ha,2020,2025,1,positive_high,60,14213,0.0042214873707169497
primary_assignment,Amazon,nat_tmp_pas_any_ha,2020,2025,1,positive_low,1361,14213,0.095757405192429465
primary_assignment,Amazon,nat_tmp_pas_any_ha,2020,2025,1,positive_moderate,457,14213,0.032153662140294095
primary_assignment,Amazon,nat_tmp_pas_any_ha,2020,2025,1,zero,12335,14213,0.86786744529655946
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1985,1990,0,low_support,569,14213,0.040033771898965738
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1985,1990,0,not_applicable,13326,14213,0.93759234503623445
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1985,1990,0,positive_high,4,14213,0.00028143249138112993
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1985,1990,0,positive_low,154,14213,0.010835150918173502
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1985,1990,0,positive_moderate,45,14213,0.0031661155280377118
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1985,1990,0,zero,115,14213,0.0080911841272074854
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1990,1995,0,low_support,646,14213,0.045451347358052487
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1990,1995,0,not_applicable,13102,14213,0.92183212551889115
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1990,1995,0,positive_high,21,14213,0.0014775205797509323
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1990,1995,0,positive_low,208,14213,0.014634489551818758
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1990,1995,0,positive_moderate,119,14213,0.0083726166185886155
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1990,1995,0,zero,117,14213,0.0082319003728980513
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1995,2000,0,low_support,940,14213,0.066136635474565539
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1995,2000,0,not_applicable,12665,14213,0.89108562583550266
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1995,2000,0,positive_high,42,14213,0.0029550411595018647
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,1995,2000,0,positive_low,283,14213,0.019911348765214942
