boundary_scope,primary_biome,metric,analysis_window,from_t0,from_t1,to_t0,to_t1,contains_diagnostic_interval,from_stage,to_stage,cells,source_cells,source_transition_fraction
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2000,2005,2005,2010,0,zero,zero,11226,11918,0.94193656653800972
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_high,positive_high,35,109,0.32110091743119268
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_high,positive_low,7,109,0.064220183486238536
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_high,positive_moderate,67,109,0.61467889908256879
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_low,positive_high,34,1391,0.024442846872753415
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_low,positive_low,618,1391,0.44428468727534148
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_low,positive_moderate,388,1391,0.27893601725377426
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_low,zero,351,1391,0.25233644859813081
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_moderate,positive_high,97,803,0.12079701120797011
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_moderate,positive_low,162,803,0.20174346201743462
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_moderate,positive_moderate,502,803,0.62515566625155661
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,positive_moderate,zero,42,803,0.052303860523038606
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,zero,positive_high,9,11910,0.0007556675062972292
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,zero,positive_low,906,11910,0.076070528967254414
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,zero,positive_moderate,239,11910,0.020067170445004199
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2005,2010,2010,2015,0,zero,zero,10756,11910,0.90310663308144412
